C?digo postal;Estado;;;;
20469;Aguascalientes;;;;
20470;Aguascalientes;;;;
20470;Aguascalientes;;;;
20470;Aguascalientes;;;;
20472;Aguascalientes;;;;
20472;Aguascalientes;;;;
20472;Aguascalientes;;;;
20472;Aguascalientes;;;;
20472;Aguascalientes;;;;
20476;Aguascalientes;;;;
20476;Aguascalientes;;;;
20478;Aguascalientes;;;;
20478;Aguascalientes;;;;
20478;Aguascalientes;;;;
20500;Aguascalientes;;;;
20501;Aguascalientes;;;;
20502;Aguascalientes;;;;
20503;Aguascalientes;;;;
20504;Aguascalientes;;;;
20506;Aguascalientes;;;;
20508;Aguascalientes;;;;
20508;Aguascalientes;;;;
20510;Aguascalientes;;;;
20516;Aguascalientes;;;;
20520;Aguascalientes;;;;
20525;Aguascalientes;;;;
20530;Aguascalientes;;;;
20534;Aguascalientes;;;;
20538;Aguascalientes;;;;
20538;Aguascalientes;;;;
20540;Aguascalientes;;;;
20545;Aguascalientes;;;;
20550;Aguascalientes;;;;
20560;Aguascalientes;;;;
20564;Aguascalientes;;;;
20567;Aguascalientes;;;;
20570;Aguascalientes;;;;
20574;Aguascalientes;;;;
20576;Aguascalientes;;;;
20578;Aguascalientes;;;;
20580;Aguascalientes;;;;
20584;Aguascalientes;;;;
20590;Aguascalientes;;;;
20600;Aguascalientes;;;;
20602;Aguascalientes;;;;
20603;Aguascalientes;;;;
20603;Aguascalientes;;;;
20603;Aguascalientes;;;;
20604;Aguascalientes;;;;
20604;Aguascalientes;;;;
20605;Aguascalientes;;;;
20607;Aguascalientes;;;;
20608;Aguascalientes;;;;
20610;Aguascalientes;;;;
20610;Aguascalientes;;;;
20612;Aguascalientes;;;;
20612;Aguascalientes;;;;
20613;Aguascalientes;;;;
20614;Aguascalientes;;;;
20614;Aguascalientes;;;;
20615;Aguascalientes;;;;
20616;Aguascalientes;;;;
20616;Aguascalientes;;;;
20622;Aguascalientes;;;;
20622;Aguascalientes;;;;
20631;Aguascalientes;;;;
20634;Aguascalientes;;;;
20637;Aguascalientes;;;;
20645;Aguascalientes;;;;
20645;Aguascalientes;;;;
20646;Aguascalientes;;;;
20650;Aguascalientes;;;;
20654;Aguascalientes;;;;
20656;Aguascalientes;;;;
20657;Aguascalientes;;;;
20658;Aguascalientes;;;;
20659;Aguascalientes;;;;
20663;Aguascalientes;;;;
20663;Aguascalientes;;;;
20663;Aguascalientes;;;;
20664;Aguascalientes;;;;
20664;Aguascalientes;;;;
20664;Aguascalientes;;;;
20664;Aguascalientes;;;;
20664;Aguascalientes;;;;
20664;Aguascalientes;;;;
20664;Aguascalientes;;;;
20664;Aguascalientes;;;;
20665;Aguascalientes;;;;
20665;Aguascalientes;;;;
20665;Aguascalientes;;;;
20665;Aguascalientes;;;;
20665;Aguascalientes;;;;
20665;Aguascalientes;;;;
20666;Aguascalientes;;;;
20666;Aguascalientes;;;;
20667;Aguascalientes;;;;
20667;Aguascalientes;;;;
20667;Aguascalientes;;;;
20667;Aguascalientes;;;;
20668;Aguascalientes;;;;
20668;Aguascalientes;;;;
20668;Aguascalientes;;;;
20668;Aguascalientes;;;;
20670;Aguascalientes;;;;
20673;Aguascalientes;;;;
20673;Aguascalientes;;;;
20673;Aguascalientes;;;;
20673;Aguascalientes;;;;
20674;Aguascalientes;;;;
